federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
012-2903,"McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",Department of Agriculture,International Affairs,International development and humanitarian assistance,9082693.87,40744530.86,207626000.00,0.00,0.00,0.00,0.00,257453224.73,208271646.49,40744530.86,49181578.24,168788513.90,257453224.73
036-0161,"Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,121709601.54,34287688.30,722262000.00,0.00,0.00,26446508.61,26446508.61,904705798.45,734414930.28,42088238.72,170290868.17,670619572.21,904705798.45
036-5287,"Medical Care Collections Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
036-0140,"Medical Community Care, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,470374470.21,975852487.90,10074279450.53,0.00,0.00,9956.16,9956.16,11520516364.80,10996345638.38,975852487.90,524170726.42,9439969578.09,11520516364.80
075-0520,"Medicare Advantage Stabilization Fund, Centers for Medicare and Medicaid Services",Department of Health and Human Services,Medicare,Medicare,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
075-0139,"Medicare Appeals, Departmental Management",Department of Health and Human Services,Health,Health care services,7271667.35,499166.92,0.00,0.00,0.00,182444084.72,182444084.72,190214918.99,146495431.28,1024811.96,43719487.71,117166562.16,190214918.99
057-1007,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.00,0.00,1561343000.00,0.00,0.00,0.00,0.00,1561343000.00,1561343000.00,0.00,0.00,1561343000.00,1561343000.00
021-1004,"Medicare-Eligible Retiree Health Fund Contribution, Army",Department of the Army,National Defense,Department of Defense-Military,0.00,0.00,2284955000.00,0.00,0.00,0.00,0.00,2284955000.00,2284955000.00,0.00,0.00,2284955000.00,2284955000.00
017-1001,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,902987000.00,0.00,0.00,0.00,0.00,902987000.00,902987000.00,0.00,0.00,902987000.00,902987000.00
057-1009,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.00,0.00,254817000.00,0.00,0.00,0.00,0.00,254817000.00,254817000.00,0.00,0.00,254817000.00,254817000.00
021-1006,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,0.00,0.00,757211000.00,0.00,0.00,0.00,0.00,757211000.00,757211000.00,0.00,0.00,757211122.15,757211000.00
017-1000,"Medicare-Eligible Retiree Health Fund Contribution, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,1577118000.00,0.00,0.00,0.00,0.00,1577118000.00,1577118000.00,0.00,0.00,1577118000.00,1577118000.00
057-1008,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.00,0.00,145857000.00,0.00,0.00,0.00,0.00,145857000.00,145857000.00,0.00,0.00,145857000.00,145857000.00
021-1005,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,0.00,0.00,438133000.00,0.00,0.00,0.00,0.00,438133000.00,438133000.00,0.00,0.00,438133000.00,438133000.00
017-1003,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,81218000.00,0.00,0.00,0.00,0.00,81218000.00,81218000.00,0.00,0.00,81218000.00,81218000.00
017-1002,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,143142000.00,0.00,0.00,0.00,0.00,143142000.00,143142000.00,0.00,0.00,143142000.00,143142000.00
070-0616,"Medicare-Eligible Retiree Health Fund Contribution, United States Coast Guard, Homeland Security",Department of Homeland Security,Transportation,Water transportation,0.00,0.00,204135830.00,0.00,0.00,0.00,0.00,204135830.00,204135830.00,0.00,0.00,204135830.00,204135830.00
075-0508,"Medicare Health Information Technology Incentive Payments - Recovery Act, Centers for Medicare and Medicaid Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,6200451.25,0.00,0.00,0.00,0.00,53618873.51,53618873.51,59819324.76,59819324.76,0.00,0.00,53897829.94,59819324.76
075-8308,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services",Department of Health and Human Services,Medicare,Medicare,3037732.48,4836176.87,88834632754.87,0.00,0.00,-7315833082.78,-7315833082.78,81526673581.44,81526673581.44,4836176.87,0.00,82487217636.09,81526673581.44
072-0409,"MENA Loan Guarantee Program Account, Funds Appropriated to the President, US Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,0.00,0.00,300729536.00,0.00,0.00,0.00,0.00,300729536.00,300729536.00,0.00,0.00,300729536.00,300729536.00
075-1363,"Mental Health, Substance Abuse and Mental Health Services Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,17615257.45,3920939.93,1465972000.00,0.00,0.00,63440869.41,63440869.41,1550949066.79,1539061702.45,48711470.73,11887364.34,1150402769.24,1550949066.79
069-8390,"Metropolitan Planning Trust Fund, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,32446.85,0.00,0.00,0.00,0.00,0.00,0.00,32446.85,0.00,0.00,32446.85,0.00,32446.85
072-0400,"Micro and Small Enterprise Development Program Account, Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,2658998.21,161400.00,0.00,0.00,0.00,0.00,0.00,2820398.21,0.00,161400.00,2820398.21,48848.30,2820398.21
012-5278,"Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.60,0.00,0.60
019-1143,"Migration and Refugee Assistance, State",Department of State,International Affairs,International development and humanitarian assistance,255913202.29,18999021.98,3366000000.00,0.00,0.00,175.33,175.33,3640912399.60,3242156837.48,10619666.12,398755562.12,2644877742.63,3640912399.60
014-5137,"Migratory Bird Conservation Account, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Recreational resources,6159675.74,702832.38,81329870.68,0.00,0.00,0.00,0.00,88192378.80,82607380.77,702832.38,5584998.03,81594866.10,88192378.80
057-3300,"Military Construction, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,2241395439.26,-22866457.03,2228010000.00,0.00,0.00,0.00,0.00,4446538982.23,1080763275.42,13030417.89,3365775706.81,850609238.25,4446538982.23
057-3730,"Military Construction, Air Force Reserve",Department of the Air Force,National Defense,Department of Defense-Military,73094063.38,69201742.49,137635000.00,0.00,0.00,0.00,0.00,279930805.87,151448901.09,69447624.27,128481904.78,109159881.54,279930805.87
057-3830,"Military Construction, Air National Guard",Department of the Air Force,National Defense,Department of Defense-Military,193252324.85,6298299.80,223491000.00,0.00,0.00,0.00,0.00,423041624.65,113353836.78,6324468.71,309687787.87,83663770.01,423041624.65
021-2050,"Military Construction, Army",Department of the Army,National Defense,Department of Defense-Military,3964641144.26,-148879287.45,1183894000.00,0.00,0.00,5547466167.08,5547466167.08,10547122023.89,6471738717.07,533728110.98,4075383306.82,5813362455.25,10547122023.89
021-2085,"Military Construction, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,392230308.57,67961324.92,853497000.00,0.00,0.00,0.00,0.00,1313688633.49,405738479.35,86187089.13,907950154.14,246287362.98,1313688633.49
021-2086,"Military Construction, Army Reserve",Department of the Army,National Defense,Department of Defense-Military,176642762.77,12323190.45,159712000.00,0.00,0.00,0.00,0.00,348677953.22,222301998.56,12330608.67,126375954.66,169057238.50,348677953.22
097-0500,"Military Construction, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,3806563157.81,197674897.96,3035813000.00,0.00,0.00,535300.74,535300.74,7040586356.51,2609118418.18,221527229.34,4431467938.33,2230990845.53,7040586356.51
017-1235,"Military Construction, Naval Reserve",Department of the Navy,National Defense,Department of Defense-Military,81709506.72,2418171.58,95271000.00,0.00,0.00,-56334.85,-56334.85,179342343.45,32886792.12,2444780.33,146455551.33,25491842.78,179342343.45
017-1205,"Military Construction, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,2630823906.84,115780923.74,1990289000.00,0.00,0.00,653239082.57,653239082.57,5390132913.15,2321814055.08,172991594.41,3068318858.07,2145434247.23,5390132913.15
057-3307,"Military Construction - Recovery Act, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,170500.73,-0.88,0.00,0.00,0.00,0.00,0.00,170499.85,170499.85,0.00,0.00,634619.73,170499.85
057-3834,"Military Construction - Recovery Act, Air National Guard",Department of the Air Force,National Defense,Department of Defense-Military,2369.98,-2369.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
021-2051,"Military Construction - Recovery Act, Army",Department of the Army,National Defense,Department of Defense-Military,13905.44,64922.36,0.00,0.00,0.00,0.00,0.00,78827.80,78827.80,78827.80,0.00,54922.95,78827.80
021-2094,"Military Construction - Recovery Act, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,14817.50,-14817.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
097-0501,"Military Construction - Recovery Act, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,37954213.95,-21131457.49,0.00,0.00,0.00,0.00,0.00,16822756.46,16822756.46,589418.15,0.00,47376334.62,16822756.46
017-1206,"Military Construction - Recovery Act, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,52771.52,-52771.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186678.96,0.00,5644.13,0.00
057-3500,"Military Personnel, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,833947300.40,56766421.13,29241168157.00,0.00,0.00,470939301.32,470939301.32,30602821179.85,29834727107.24,149821269.42,768094072.61,28770111574.64,30602821179.85
021-2010,"Military Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,376587994.40,1909111533.94,42931201000.00,0.00,0.00,292280898.10,292280898.10,45509181426.44,45225396621.99,2632235656.70,283784804.45,41559445365.78,45509181426.44
017-1105,"Military Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,571020454.46,-70259962.98,13213323000.00,0.00,0.00,27829422.50,27829422.50,13741912913.98,13335849983.51,175493700.09,406062930.47,12514212775.49,13741912913.98
017-1453,"Military Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,837659138.65,84566929.09,29012926000.00,0.00,0.00,414307317.33,414307317.33,30349459385.07,29796027880.09,513749729.92,553431504.98,28410937682.33,30349459385.07
069-8386,"Mineola Grade Crossing, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,481213.00,0.00,0.00,0.00,0.00,0.00,0.00,481213.00,0.00,0.00,481213.00,0.00,481213.00
097-0144,"Mine Resistant Ambush Protected Vehicle Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,13854000.00,-13854000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-0959,"Mines and Minerals, Bureau of Mines, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12539.91,0.00
013-0201,"Minority Business Development, Minority Business Development Agency, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,5866606.82,-175422.47,39000000.00,0.00,0.00,445000.00,445000.00,45136184.35,39783542.99,604836.13,5352641.36,34603579.07,45136184.35
069-0119,"Minority Business Outreach, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,6239059.61,345065.75,4633103.33,0.00,0.00,0.00,0.00,11217228.69,5310329.28,423580.86,5906899.41,4596951.71,11217228.69
069-0155,"Minority Business Resource Center Program, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,2976229.98,-265502.95,501623.00,0.00,0.00,0.00,0.00,3212350.03,65104.98,100083.11,3147245.05,74620.95,3212350.03
012-8214,"Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,30150661.31,720440.34,22481427.22,0.00,0.00,0.00,0.00,53352528.87,23316356.00,720440.34,30036172.87,23635074.88,53352528.87
012-8226,"Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,8116795.01,121371.39,9514416.59,0.00,0.00,0.00,0.00,17752582.99,8487338.08,121371.39,9265244.91,8925400.23,17752582.99
012-8227,"Miscellaneous Contributed Funds, Economic Research Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1080.46,0.00,0.00,0.00,0.00,0.00,0.00,1080.46,0.00,0.00,1080.46,0.00,1080.46
012-8232,"Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1003536.72,1056056.42,83844.00,0.00,0.00,0.00,0.00,2143437.14,0.00,1056056.42,2143437.14,1056056.42,2143437.14
012-8218,"Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,54945.40,0.00,20899.65,0.00,0.00,0.00,0.00,75845.05,1899.65,0.00,73945.40,1899.65,75845.05
012-8210,"Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,533419.36,0.00,0.00,0.00,0.00,0.00,0.00,533419.36,221175.00,0.00,312244.36,0.00,533419.36
069-0641,"Miscellaneous Highway Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,15916779.29,632859.28,0.00,0.00,0.00,0.00,0.00,16549638.57,148406.35,632859.28,16401232.22,5024030.56,16549638.57
069-8058,"Miscellaneous Highway Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,56071033.43,1919553.51,0.00,0.00,0.00,0.00,0.00,57990586.94,3095261.57,1919553.51,54895325.37,7682437.33,57990586.94
069-0645,"Miscellaneous Massachusetts Projects, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
514-8286,"Miscellaneous Trust Fund, Broadcasting Board of Governors",Broadcasting Board of Governors,International Affairs,Foreign information and exchange activities,293174.07,0.00,0.00,0.00,0.00,0.00,0.00,293174.07,8084.20,0.00,285089.87,2210.00,293174.07
057-3020,"Missile Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,1728412791.16,-63010376.52,2664265924.00,0.00,0.00,64335360.14,64335360.14,4394003698.78,2540063887.49,148459816.38,1853939811.29,3326162140.53,4394003698.78
021-2032,"Missile Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,1283128014.19,353483429.13,4777313000.00,0.00,0.00,871310522.55,871310522.55,7285234965.87,4683009326.25,382252819.40,2602225639.62,2231902051.49,7285234965.87
080-0112,"Mission Support, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",1211290.74,208.85,0.00,0.00,0.00,0.00,0.00,1211499.59,48.73,208.85,1211450.86,8808.72,1211499.59
096-3112,"Mississippi River and Tributaries, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,276220101.63,20509340.18,1189704872.00,0.00,0.00,88051781.42,88051781.42,1574486095.23,681257113.36,20509340.18,893228981.87,480327213.60,1574486095.23
012-5277,"MNP Rental Fee Account, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,3783147.81,-2880548.79,725237.06,0.00,0.00,0.00,0.00,1627836.08,707994.42,19451.21,919841.66,800405.94,1627836.08
487-8615,"Morris K. Udall and Stewart L. Udall Trust Fund, Morris K. Udall and Stewart L. Udall Foundation",Morris K. Udall and Stewart L. Udall Foundation,"Education, Training, Employment, and Social Services",Higher education,1828411.30,91740.06,2438365.46,0.00,0.00,0.00,0.00,4358516.82,3509052.16,91740.06,849464.66,2033698.81,4358516.82
069-8158,"Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,190582603.59,10654521.22,0.00,0.00,374800000.00,0.00,374800000.00,576037124.81,376128661.79,10654521.22,199908463.02,316556399.84,576037124.81
069-8055,"Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,2944238.88,329323.04,0.00,0.00,0.00,0.00,0.00,3273561.92,0.00,329323.04,3273561.92,0.00,3273561.92
069-8159,"Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,26759689.09,5726449.32,0.00,0.00,283000000.00,27302011.24,310302011.24,342788149.65,295557634.62,5726449.32,47230515.03,289341356.35,342788149.65
014-1652,"Multinational Species Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,726562.93,55030.75,11061000.00,0.00,0.00,866462.41,866462.41,12709056.09,11041263.13,55030.75,1667792.96,10549002.10,12709056.09
012-2006,"Mutual and Self-Help Housing Grants, Rural Housing Service, Agriculture",Department of Agriculture,Income Security,Housing assistance,6262677.64,954722.71,30000000.00,0.00,0.00,0.00,0.00,37217400.35,34804802.52,954722.71,2412597.83,31168600.44,37217400.35
097-5613,"Mutually Beneficial Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,65252620.33,0.00,2330000.00,0.00,0.00,0.00,0.00,67582620.33,7210826.21,0.00,60371794.12,6679635.37,67582620.33
086-0183,"Mutual Mortgage Insurance Program Account, Federal Housing Administration, Housing and Urban Development",Department of Housing and Urban Development,Commerce and Housing Credit,Mortgage credit,85279457.91,12632762889.07,130000000.00,0.00,0.00,0.00,0.00,12848042346.98,12769141259.69,14921710.16,78901087.29,12748056025.27,12848042346.98
012-1801,National Agricultural Statistics Service,Department of Agriculture,Agriculture,Agricultural research and services,206225.06,5696822.37,191717000.00,0.00,0.00,23982344.19,23982344.19,221602391.62,221329339.04,5697872.94,273052.58,212932170.88,221602391.62
012-0706,"National Appeals Division, Executive Operations",Department of Agriculture,Agriculture,Agricultural research and services,733509.35,52702.58,15222000.00,0.00,0.00,14000.00,14000.00,16022211.93,14844854.83,435766.82,1177357.10,14465048.86,16022211.93
088-8127,"National Archives Gift Fund, National Archives and Records Administration",National Archives and Records Administration,General Government,General property and records management,2592467.94,18723.23,3562862.85,0.00,0.00,0.00,0.00,6174054.02,2648888.61,18723.23,3525165.41,2648869.08,6174054.02
088-8436,"National Archives Trust Fund, National Archives and Records Administration",National Archives and Records Administration,General Government,General property and records management,5172502.73,910685.23,0.00,0.00,0.00,16664812.77,16664812.77,22748000.73,17027073.04,910685.23,5720927.69,16220771.67,22748000.73
075-0849,"National Cancer Institute, National Institutes of Health",Department of Health and Human Services,Health,Health research and training,84793908.29,61550919.68,5943706000.00,0.00,0.00,21212207.88,21212207.88,6111263035.85,6005173462.73,54904007.32,106089573.12,5413337401.67,6111263035.85
075-0849,"National Cancer Institute, National Institutes of Health",Department of Health and Human Services,National Defense,Atomic energy defense activities,53295402.74,-10888532.12,0.00,0.00,0.00,328870.70,328870.70,42735741.32,42735741.32,54856940.30,0.00,24382571.44,42735741.32
036-5392,"National Cemetery Administration Facilities Operation Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,1057847.97,0.00,247517.04,0.00,0.00,0.00,0.00,1305365.01,762875.00,0.00,542490.01,762875.00,1305365.01
036-0129,"National Cemetery Administration, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,12899224.00,9538758.08,305839000.00,0.00,0.00,712668.43,712668.43,328989650.51,314953950.71,12307501.20,14035699.80,295724954.70,328989650.51
075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,26105819.23,22167245.17,760710000.00,0.00,0.00,16816486.54,16816486.54,825799550.94,772684707.66,22167245.17,53114843.28,748277235.94,825799550.94
075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,National Defense,Atomic energy defense activities,9094758.17,-6448973.18,0.00,0.00,0.00,379225.02,379225.02,3025010.01,3025010.01,3333653.09,0.00,23206011.41,3025010.01
075-0896,"National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,1999643.89,871429.45,141684000.00,0.00,0.00,460835.99,460835.99,145015909.33,142427542.47,871429.45,2588366.86,126163942.28,145015909.33
075-0896,"National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services",Department of Health and Human Services,National Defense,Atomic energy defense activities,1012941.57,-999952.82,0.00,0.00,0.00,388.98,388.98,13377.73,13377.73,266836.36,0.00,347653.18,13377.73
075-0897,"National Center on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,3779946.62,7674092.50,304396000.00,0.00,0.00,773530.00,773530.00,316623569.12,310100088.14,7674092.50,6523480.98,277033835.07,316623569.12
075-0897,"National Center on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services",Department of Health and Human Services,National Defense,Atomic energy defense activities,2702569.06,-2499635.36,0.00,0.00,0.00,0.00,0.00,202933.70,202933.70,1675023.31,0.00,1687706.75,202933.70
017-4557,"National Defense Sealift Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,37712725.45,49392390.76,201450000.00,0.00,0.00,20342617.00,20342617.00,308897733.21,228583912.85,49392390.76,80313820.36,182738789.64,308897733.21
097-4555,"National Defense Stockpile Transaction Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,218816946.11,1876918.48,0.00,0.00,0.00,58523756.51,58523756.51,279217621.10,54613164.56,1876918.48,224604456.54,44601002.42,279217621.10
069-8362,"National Driver Register, National Highway Traffic Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,413814.12,0.00,0.00,0.00,0.00,0.00,0.00,413814.12,0.00,0.00,413814.12,0.00,413814.12
019-0210,"National Endowment for Democracy, State",Department of State,International Affairs,Foreign information and exchange activities,46286.81,476.53,170000000.00,0.00,0.00,0.00,0.00,170046763.34,170000000.00,476.53,46763.34,169844255.60,170046763.34
075-0887,"National Eye Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,6063351.58,5143415.75,770493000.00,0.00,0.00,17340021.19,17340021.19,799039788.52,789204138.15,5143415.75,9835650.37,746169185.91,799039788.52
075-0887,"National Eye Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,National Defense,Atomic energy defense activities,2041907.62,-1927991.54,0.00,0.00,0.00,6173.75,6173.75,120089.83,120089.83,1734785.33,0.00,604667.70,120089.83
070-4236,"National Flood Insurance Fund, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,5596921926.17,27086560.31,0.00,6100000000.00,0.00,4763830624.64,10863830624.64,16487839111.12,11407906619.84,27086560.31,5079932491.28,11637296109.92,16487839111.12
070-5701,"National Flood Insurance Reserve Fund, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,750204247.30,0.00,878635058.35,0.00,0.00,0.00,0.00,1628839305.65,919489851.00,0.00,709349454.65,744599976.14,1628839305.65
012-1106,"National Forest System, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,83449075.22,24720061.57,1952570752.13,0.00,0.00,120039325.83,120039325.83,2180779214.75,2000530993.26,25460061.57,180248221.49,1863124541.02,2180779214.75
097-0350,"National Guard and Reserve Equipment, Defense",Department of Defense,National Defense,Department of Defense-Military,1222858591.91,114240368.26,1300000000.00,0.00,0.00,-254028.82,-254028.82,2636844931.35,902622112.84,126308741.74,1734222818.51,1120436760.50,2636844931.35
057-3850,"National Guard Personnel, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,74109623.53,38362190.97,3465253050.00,0.00,0.00,66224251.59,66224251.59,3643949116.09,3564577583.31,203180775.63,79371532.78,3437247059.99,3643949116.09
021-2060,"National Guard Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,481305123.42,491740016.81,8724914000.00,0.00,0.00,39712036.21,39712036.21,9737671176.44,9182617384.46,683627729.92,555053791.98,8439696108.59,9737671176.44
075-0872,"National Heart, Lung, and Blood Institute, National Institutes of Health",Department of Health and Human Services,Health,Health research and training,63461292.48,51660145.17,3374283000.00,0.00,0.00,12826321.42,12826321.42,3502230759.07,3410654941.81,51660145.17,91575817.26,3298127908.16,3502230759.07
075-0872,"National Heart, Lung, and Blood Institute, National Institutes of Health",Department of Health and Human Services,National Defense,Atomic energy defense activities,26379634.35,-21217883.83,0.00,0.00,0.00,517583.56,517583.56,5679334.08,5679334.08,17568016.53,0.00,8597028.96,5679334.08
088-0301,"National Historical Publications and Records Commission, National Archives and Records Administration",National Archives and Records Administration,General Government,General property and records management,2224503.58,191040.92,6000000.00,0.00,0.00,0.00,0.00,8415544.50,6872617.00,191040.92,1542927.50,4975868.78,8415544.50
075-0891,"National Human Genome Research Institute, National Institutes of Health",Department of Health and Human Services,Health,Health research and training,3599939.61,4542294.89,556764000.00,0.00,0.00,25752104.55,25752104.55,590658339.05,583794450.57,4542294.89,6863888.48,541030488.54,590658339.05
075-0891,"National Human Genome Research Institute, National Institutes of Health",Department of Health and Human Services,National Defense,Atomic energy defense activities,1385561.75,-994611.91,0.00,0.00,0.00,179739.80,179739.80,570689.64,570689.64,1983701.53,0.00,291678.16,570689.64
014-5141,"National Indian Gaming Commission, Gaming Activity Fees",Department of the Interior,General Government,General purpose fiscal assistance,13863379.98,23928.47,19344881.36,0.00,0.00,0.00,0.00,33232189.81,21480690.21,23928.47,11751499.60,20068581.25,33232189.81
069-0143,"National Infrastructure Investments, Office of the Secretary, Transportation",Department of Transportation,Transportation,Ground transportation,900107526.69,-2615877.83,1500000000.00,0.00,0.00,0.00,0.00,2397491648.86,160325462.17,9251125.72,2237166186.69,451149136.95,2397491648.86
075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,74843442.19,68005911.89,5268307000.00,0.00,0.00,26543464.37,26543464.37,5437699818.45,5336445172.83,68005911.89,101254645.62,5122423579.47,5437699818.45
075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,National Defense,Atomic energy defense activities,67857070.34,-65702204.97,0.00,0.00,0.00,62849.21,62849.21,2217714.58,2217714.58,34763127.95,0.00,41859502.99,2217714.58
075-0888,"National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health",Department of Health and Human Services,Health,Health research and training,4996339.51,5576756.21,585283000.00,0.00,0.00,5950378.01,5950378.01,601806473.73,593825811.66,5576756.21,7980662.07,577423921.27,601806473.73
