federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
014-1691,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",Department of the Interior,General Government,General purpose fiscal assistance,0.00,0.00,13228000.00,0.00,0.00,0.00,0.00,13228000.00,13228000.00,0.00,0.00,13228000.00,13228000.00
014-5091,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",Department of the Interior,General Government,General purpose fiscal assistance,8230492.21,19686.27,7824439.02,0.00,0.00,0.00,0.00,16074617.50,11334589.18,19686.27,4740028.32,11302608.20,16074617.50
086-0313,"Native American Housing Block Grants, Public and Indian Housing, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,18262313.38,28091858.03,657410254.71,0.00,0.00,0.00,0.00,703764426.12,651397139.06,28091858.03,52367287.06,624394931.96,703764426.12
012-5205,"Native American Institutions Endowment Fund, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1515644.95,1361744.40,4822869.00,0.00,0.00,0.00,0.00,7700258.35,6394419.14,1361744.40,1305839.21,5795745.78,7700258.35
036-1120,"Native American Veteran Housing Loan Program Account, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Veterans housing,2265984.11,0.00,2654458.09,0.00,0.00,0.00,0.00,4920442.20,2654458.09,0.00,2265984.11,2654458.09,4920442.20
086-0235,"Native Hawaiian Housing Block Grant, Public and Indian Housing, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,188615.88,338675.00,2000000.00,0.00,0.00,0.00,0.00,2527290.88,771.42,338675.00,2526519.46,6098756.16,2527290.88
086-0233,"Native Hawaiian Housing Loan Guarantee Fund Program Account, Public and Indian Housing, Housing and Urban Development",Department of Housing and Urban Development,Commerce and Housing Credit,Mortgage credit,5663955.96,261598.06,360431.86,0.00,0.00,0.00,0.00,6285985.88,360431.86,261598.06,5925554.02,371073.56,6285985.88
014-5198,"Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary",Department of the Interior,Natural Resources and Environment,Conservation and land management,833984414.78,-1157761.79,577798505.97,0.00,0.00,0.00,0.00,1410625158.96,66147515.50,690976.54,1344477643.46,70482388.13,1410625158.96
014-1618,"Natural Resource Damage Assessment Fund, Natural Resource Damage Assessment and Restoration, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,8962150.03,244322.85,7767000.00,0.00,0.00,0.00,0.00,16973472.88,7818961.86,244322.85,9154511.02,8196946.08,16973472.88
089-0219,"Naval Petroleum and Oil Shale Reserves, Energy Programs, Energy",Department of Energy,Energy,Energy supply,25986578.65,77464.45,12005013.00,0.00,0.00,0.00,0.00,38069056.10,15652579.25,77464.45,22416476.85,13018555.04,38069056.10
014-5576,Naval Petroleum Reserve Numbered 2 Lease Revenue Account,Department of the Interior,Natural Resources and Environment,Conservation and land management,449686.13,0.00,0.00,0.00,0.00,0.00,0.00,449686.13,2343.86,0.00,447342.27,8105.78,449686.13
089-0314,"Naval Reactors, National Nuclear Security Administration, Energy",Department of Energy,National Defense,Atomic energy defense activities,7517184.44,390101.41,1344917888.09,0.00,0.00,0.00,0.00,1352825173.94,1348137838.48,390101.41,4687335.46,1267249478.96,1352825173.94
086-4071,"Nehemiah Housing Opportunity Fund, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,146500.00,-146500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176500.00,0.00,0.00,0.00
086-0344,"Neighborhood Stabilization Program, Community Planning and Development, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,19893035.11,-6902515.18,0.00,0.00,0.00,0.00,0.00,12990519.93,12926450.11,64069.82,64069.82,29798093.39,12990519.93
014-1696,"Neotropical Migratory Bird Conservation, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,844030.68,2667.14,3910000.00,0.00,0.00,0.00,0.00,4756697.82,4529265.60,2667.14,227432.22,3134923.76,4756697.82
013-4358,"Network Construction Fund, Telecommunications and Information Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,6595214815.56,8941818.41,0.00,0.00,0.00,0.00,0.00,6604156633.97,1064676349.97,8941818.41,5539480284.00,1069927471.56,6604156633.97
069-0147,"New Headquarters Building, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,61575.53,8174.90,0.00,0.00,0.00,0.00,0.00,69750.43,61501.16,8174.90,8249.27,529643.70,69750.43
069-0661,"Next Generation 911 Implementation Grants, National Highway Traffic Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,104430000.00,0.00,0.00,0.00,0.00,7820000.00,7820000.00,112250000.00,766472.70,0.00,111483527.30,5701.54,112250000.00
069-0722,"Next Generation High Speed Rail, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,3542947.18,71736.03,0.00,0.00,0.00,0.00,0.00,3614683.21,0.00,71736.03,3614683.21,1379065.31,3614683.21
075-5628,"NIH Innovation, CURES Act, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,0.00,0.00,52000000.00,0.00,0.00,0.00,0.00,52000000.00,12194607.37,0.00,39805392.63,193628.38,52000000.00
013-1465,"NOAA Accrual Contribution to the Uniformed Services Retiree Health, Commerce",Department of Commerce,Natural Resources and Environment,Other natural resources,2213937.00,0.00,1936000.00,0.00,0.00,0.00,0.00,4149937.00,1365012.00,0.00,2784925.00,1365012.00,4149937.00
089-0315,"Non-Defense Environmental Cleanup, Energy Programs, Energy",Department of Energy,Energy,Energy supply,1793991.21,3242097.87,246762000.00,0.00,0.00,32345083.87,32345083.87,284143172.95,283726282.65,3242097.87,416890.30,311091890.58,284143172.95
011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",,International Affairs,International security assistance,221704.56,1732.21,0.00,0.00,0.00,0.00,0.00,223436.77,0.00,1732.21,223436.77,3197.19,223436.77
011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",,International Affairs,International security assistance,979449695.33,45250810.95,970450000.00,0.00,0.00,40396021.09,40396021.09,2035546527.37,999023671.09,77263730.06,1036522856.28,738037713.32,2035546527.37
075-0125,"Nonrecurring Expense Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health care services,829842609.15,360785657.88,-100000000.00,0.00,0.00,0.00,0.00,1090628267.03,526104710.30,9161204.89,564523556.73,384077490.90,1090628267.03
069-1123,"Non-Urban Formula Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.72,-0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-5241,"North American Wetlands Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,27052906.89,2806490.85,49546060.95,0.00,0.00,0.00,0.00,79405458.69,70060907.53,2806490.85,9344551.16,50942696.77,79405458.69
097-0804,"North Atlantic Treaty Organization, Security Investment Program, Defense",Department of Defense,National Defense,Department of Defense-Military,262736747.33,211768316.16,147932000.00,0.00,0.00,0.00,0.00,622437063.49,307960182.49,211768316.16,314476881.00,107459982.07,622437063.49
069-1774,"Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,328000000.00,0.00,0.00,0.00,0.00,328000000.00,324390202.00,0.00,3609798.00,321411068.00,328000000.00
069-0123,"Northeast Corridor Improvement Program, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,20163136.48,0.00,0.00,0.00,0.00,0.00,0.00,20163136.48,0.00,0.00,20163136.48,0.00,20163136.48
089-5369,"Northeast Home Heating Oil Reserve, Energy Programs, Energy",Department of Energy,Energy,Emergency energy preparedness,7445200.13,438.19,6497404.31,0.00,0.00,0.00,0.00,13943042.63,9644704.14,438.19,4298338.49,9937242.28,13943042.63
573-3742,Northern Border Regional Commission,Northern Border Regional Commission,Community and Regional Development,Area and regional development,309225.14,371764.60,10000000.00,0.00,0.00,0.00,0.00,10680989.74,9753239.48,371764.60,927750.26,4836030.72,10680989.74
013-5598,"North Pacific Fishery Observer Fund, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Natural Resources and Environment,Other natural resources,51937.07,0.00,3634880.92,0.00,0.00,0.00,0.00,3686817.99,3542195.53,0.00,144622.46,4072751.58,3686817.99
019-0203,"North/South Center, State",Department of State,International Affairs,Foreign information and exchange activities,1476.21,0.00,0.00,0.00,0.00,0.00,0.00,1476.21,0.00,0.00,1476.21,0.00,1476.21
013-4295,"NTIS Revolving Fund, National Technical Information Service, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,7953891.40,0.00,0.00,0.00,0.00,156946286.20,156946286.20,164900177.60,158282438.26,0.00,6617739.34,170407282.17,164900177.60
089-0319,"Nuclear Energy, Energy Programs, Energy",Department of Energy,Energy,Energy supply,41023378.45,17943549.07,1075112580.00,0.00,0.00,120740271.91,120740271.91,1254819779.43,1212684841.72,14262549.07,42134937.71,1103908318.36,1254819779.43
031-5280,"Nuclear Facilities Fees Fund, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
089-5227,"Nuclear Waste Disposal Fund, Energy Programs, Energy",Department of Energy,Energy,Energy supply,13170432.22,286046.96,0.00,0.00,0.00,0.00,0.00,13456479.18,4485008.50,286046.96,8971470.68,2484484.61,13456479.18
069-8082,"Nuclear Waste Transportation Safety Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,109.55,0.00,0.00,0.00,0.00,0.00,0.00,109.55,109.55,0.00,0.00,0.00,109.55
012-3508,"Nutrition Programs Administration, Food and Nutrition Service, Agriculture",Department of Agriculture,Income Security,Food and nutrition assistance,6266096.29,-392920.26,170866000.00,0.00,0.00,520471.80,520471.80,177259647.83,152815957.69,3687660.43,24443690.14,151943237.33,177259647.83
014-1917,"Ocean Energy Management, Bureau of Ocean Energy Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,29461164.31,3763967.55,117662226.68,0.00,0.00,53013863.05,53013863.05,203901221.59,185706076.63,5605014.03,18195144.96,176681188.42,203901221.59
091-0700,"Office for Civil Rights, Departmental Management, Education",Department of Education,Administration of Justice,Federal law enforcement activities,719164.48,327880.89,108500000.00,0.00,0.00,17742.84,17742.84,109564788.21,108679067.75,1310194.00,885720.46,109902693.42,109564788.21
075-0135,"Office for Civil Rights, Departmental Management, Health and Human Services",Department of Health and Human Services,Administration of Justice,Federal law enforcement activities,25387364.22,-863514.14,38708000.00,0.00,0.00,20410412.73,20410412.73,83642262.81,47203932.21,510228.56,36438330.60,43160282.01,83642262.81
012-0132,"Office of Advocacy and Outreach, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,136453.27,35490.68,0.00,0.00,0.00,-27661.03,-27661.03,144282.92,64.89,35493.90,144218.03,2.45,144282.92
073-0300,"Office of Advocacy, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,756371.36,108655.44,9220000.00,0.00,0.00,0.00,0.00,10085026.80,8113497.92,108655.44,1971528.88,8202458.26,10085026.80
096-3132,"Office of Assistant Secretary of the Army (Civil Works), Corps of Engineers",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,1527.18,80129.98,4764000.00,0.00,0.00,0.00,0.00,4845657.16,3977604.00,80129.98,868053.16,6510136.27,4845657.16
070-0521,"Office of Biometric Identity Management, National Protection and Programs Directorate, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,148864116.92,24576982.04,0.00,0.00,0.00,17570.15,17570.15,173458669.11,39435527.59,28461234.46,134023141.52,105384179.75,173458669.11
012-0503,"Office of Budget and Program Analysis, Executive Operations",Department of Agriculture,Agriculture,Agricultural research and services,4437044.66,-546677.93,9050000.00,0.00,0.00,0.00,0.00,12940366.73,8606470.53,23527.27,4333896.20,8529313.60,12940366.73
012-3800,"Office of Civil Rights, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1481673.43,892654.96,24206000.00,0.00,0.00,6021983.88,6021983.88,32602312.27,29978998.07,953813.21,2623314.20,29370634.98,32602312.27
069-0118,"Office of Civil Rights, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,4074406.78,-952506.53,9751000.00,0.00,0.00,0.00,0.00,12872900.25,9363099.97,75316.48,3509800.28,9315904.13,12872900.25
012-0150,"Office of Communications, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,244739.92,-96796.62,0.00,0.00,0.00,-55000.00,-55000.00,92943.30,0.00,50474.50,92943.30,-8.71,92943.30
070-0511,"Office of Domestic Preparedness, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,15561.55,0.00,-15561.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",,General Government,Executive direction and management,78263.76,21063.46,0.00,0.00,0.00,0.00,0.00,99327.22,31984.69,21063.46,67342.53,38442.32,99327.22
012-0136,"Office of Ethics, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1624988.64,1875.32,3761000.00,0.00,0.00,219396.72,219396.72,5607260.68,3991746.55,1875.32,1615514.13,3899675.34,5607260.68
020-0128,"Office of Financial Stability, Departmental Offices, Treasury",Department of the Treasury,Commerce and Housing Credit,Other advancement of commerce,173564288.77,-50828252.57,122457278.00,0.00,0.00,-14490.70,-14490.70,245178823.50,106000907.32,20026385.56,139177916.18,115621621.70,245178823.50
070-0117,"Office of Health Affairs, National Protection and Programs Directorate, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,28086948.28,-2855381.77,123488547.00,0.00,0.00,43131594.23,43131594.23,191851707.74,166554161.24,4102360.78,25297546.50,168519917.54,191851707.74
086-0341,"Office of Healthy Homes and Lead Hazard Control, Program Office Salaries and Expenses, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,443552.01,208802.46,7939000.00,0.00,0.00,0.00,0.00,8591354.47,7908019.32,273577.98,683335.15,7579624.00,8591354.47
485-2721,"Office of Inspector General, Corporation for National and Community Service",Corporation for National and Community Service,"Education, Training, Employment, and Social Services",Social services,2368160.26,-78703.15,5750000.00,0.00,0.00,-3396.43,-3396.43,8036060.68,5275761.21,166424.07,2760299.47,4864720.21,8036060.68
036-0170,"Office of Inspector General, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,15342877.65,5168517.28,159606000.00,0.00,0.00,2209396.00,2209396.00,182326790.93,159876414.05,7318752.39,22450376.88,150868671.20,182326790.93
068-0112,"Office of Inspector General, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,7933146.64,-266643.19,41489000.00,0.00,0.00,8634880.24,8634880.24,57790383.69,50658132.25,496729.96,7132251.44,49426580.62,57790383.69
047-0108,"Office of Inspector General, General Services Administration",General Services Administration,General Government,General property and records management,19501956.19,-342927.56,65000000.00,0.00,0.00,338097.62,338097.62,84497126.25,65237410.44,736474.80,19259715.81,65154753.73,84497126.25
015-0328,"Office of Inspector General, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,18985786.43,1399163.34,95583000.00,0.00,0.00,21418604.41,21418604.41,137386554.18,112916662.00,2130324.68,24469892.18,111687431.65,137386554.18
086-0189,"Office of Inspector General, Management and Administration, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,7823984.03,2986232.00,128082000.00,0.00,0.00,221904.94,221904.94,139114120.97,134834810.51,4056975.95,4279310.46,130282434.58,139114120.97
088-0305,"Office of Inspector General, National Archives and Records Administration",National Archives and Records Administration,General Government,General property and records management,1907955.38,-96015.64,4801000.00,0.00,0.00,0.00,0.00,6612939.74,4219143.67,38790.60,2393796.07,4342428.33,6612939.74
049-0300,"Office of Inspector General, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,878509.64,-6018.68,15200000.00,0.00,0.00,79712.44,79712.44,16152203.40,15196777.45,59765.77,955425.95,15530461.25,16152203.40
031-0300,"Office of Inspector General, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",3001110.62,220474.70,12129000.00,0.00,0.00,0.00,0.00,15350585.32,12181449.07,220474.70,3169136.25,11902703.98,15350585.32
012-0803,"Office of Inspector General - Recovery Act, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,36.65,0.00,0.00,0.00,0.00,0.00,0.00,36.65,36.65,0.00,0.00,0.00,36.65
485-2730,"Office of Inspector General-Recovery Act, Corporation for National and Community Service",Corporation for National and Community Service,"Education, Training, Employment, and Social Services",Social services,20388.24,-20388.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.42,0.00,0.00,0.00
013-0110,"Office of Inspector General - Recovery Act, Departmental Management, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,1598267.20,235.39,0.00,0.00,0.00,0.00,0.00,1598502.59,288722.23,235.39,1309780.36,310557.03,1598502.59
016-0107,"Office of Inspector General - Recovery Act, Departmental Management, Labor",,"Education, Training, Employment, and Social Services",Other labor services,21709.72,-21709.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,88900.67,0.00
068-0113,"Office of Inspector General - Recovery Act, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,1526836.59,0.00,0.00,0.00,0.00,0.00,0.00,1526836.59,0.00,0.00,1526836.59,0.00,1526836.59
047-0112,"Office of Inspector General - Recovery Act, General Services Administration",General Services Administration,General Government,General property and records management,9238.55,0.00,0.00,0.00,0.00,0.00,0.00,9238.55,0.00,0.00,9238.55,0.00,9238.55
070-0201,"Office of Inspector General - Recovery Act, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,278153.67,-278153.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
086-0190,"Office of Inspector General-Recovery Act, Management and Administration, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,2272.04,0.00,0.00,0.00,0.00,0.00,0.00,2272.04,0.00,0.00,2272.04,0.00,2272.04
049-0301,"Office of Inspector General - Recovery Act, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,4168.73,0.00,0.00,0.00,0.00,0.00,0.00,4168.73,0.00,0.00,4168.73,-11277.47,4168.73
073-0201,"Office of Inspector General - Recovery Act, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,900862.74,0.00,0.00,0.00,0.00,0.00,0.00,900862.74,0.00,0.00,900862.74,0.00,900862.74
073-0200,"Office of Inspector General, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,11594317.29,135807.32,19900000.00,0.00,0.00,1000000.00,1000000.00,32630124.61,20875444.22,502633.16,11754680.39,20207029.98,32630124.61
016-0181,"Office of Job Corps, Employment and Training Administration, Labor",,"Education, Training, Employment, and Social Services",Training and employment,1012027626.67,-61708195.95,1629155000.00,0.00,0.00,0.00,0.00,2579474430.72,1621034538.96,35187591.41,958439891.76,1439542284.68,2579474430.72
016-0182,"Office of Job Corps - Recovery Act, Departmental Management, Labor",,"Education, Training, Employment, and Social Services",Training and employment,491861.44,16873506.86,0.00,0.00,0.00,0.00,0.00,17365368.30,18743.04,16873506.86,17346625.26,2967769.66,17365368.30
015-8594,"Office of Justice Programs, Community Oriented Policing Services, Violent Crime Reduction Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,243858.02,0.00,0.00,0.00,0.00,0.00,0.00,243858.02,0.00,0.00,243858.02,0.00,243858.02
474-0301,"Office of Museum and Library Services: Grants and Administration, Institute of Museum and Library Services",Institute of Museum and Library Services,"Education, Training, Employment, and Social Services",Research and general education aids,5328792.50,1240752.91,231000000.00,0.00,0.00,865000.00,865000.00,238434545.41,232677128.67,3241730.77,5757416.74,228061927.97,238434545.41
011-2600,Office of Science and Technology Policy,,General Government,Executive direction and management,1198916.60,206265.21,5555000.00,0.00,0.00,0.00,0.00,6960181.81,5127659.62,338978.24,1832522.19,4011091.38,6960181.81
012-0121,Office of the Assistant Secretary for Administration,Department of Agriculture,Agriculture,Agricultural research and services,90726.50,-75963.91,0.00,0.00,0.00,0.00,0.00,14762.59,9938.44,92568.80,4824.15,19919.38,14762.59
012-0130,"Office of the Assistant Secretary for Civil Rights, Department of Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,147760.75,12291.08,901000.00,0.00,0.00,-90.41,-90.41,1060961.42,774898.48,53813.97,286062.94,678571.10,1060961.42
012-0122,Office of the Assistant Secretary for Governmental and Public Affairs,Department of Agriculture,Agriculture,Agricultural research and services,165323.74,-26656.47,0.00,0.00,0.00,0.00,0.00,138667.27,0.18,34561.83,138667.09,34987.47,138667.27
012-0128,Office of the Assistant Secretary for Natural Resources and Environment,Department of Agriculture,Agriculture,Agricultural research and services,331555.49,53682.49,901000.00,0.00,0.00,4784.11,4784.11,1291022.09,901540.59,88665.42,389481.50,900222.13,1291022.09
012-0123,"Office of the Chief Economist, Executive Operations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2579445.14,-370917.20,19848000.00,0.00,0.00,1316982.16,1316982.16,23373510.10,20051468.99,182759.43,3322041.11,19110726.18,23373510.10
070-0112,"Office of the Chief Financial Officer, Departmental Management and Operations, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,31041698.21,5401469.64,597771324.00,0.00,0.00,79720045.84,79720045.84,713934537.69,706716663.50,7344497.22,7217874.19,483282219.18,713934537.69
070-0113,"Office of the Chief Information Officer, Departmental Management and Operations, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,68282160.60,27536745.46,-3028726.00,0.00,0.00,-8748036.81,-8748036.81,84042143.25,49051136.73,36783449.69,34991006.52,262785475.48,84042143.25
075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,41761310.02,108578882.16,1676603000.00,0.00,0.00,26191514.35,26191514.35,1853134706.53,1812767440.36,163242238.58,40367266.17,1706308396.48,1853134706.53
075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,National Defense,Atomic energy defense activities,13267527.90,7560016.34,0.00,0.00,0.00,0.00,0.00,20827544.24,796617.74,7560016.34,20030926.50,32474743.19,20827544.24
012-2300,"Office of the General Counsel, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1164190.86,82890.48,44697000.00,0.00,0.00,4264088.86,4264088.86,50208170.20,49195150.07,274670.66,1013020.13,48572555.84,50208170.20
012-0900,"Office of the Inspector General, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,15940035.47,-175880.96,98208000.00,0.00,0.00,3146748.28,3146748.28,117118902.79,101306954.98,2309001.42,15811947.81,95404056.05,117118902.79
097-0107,"Office of the Inspector General, Defense",Department of Defense,National Defense,Department of Defense-Military,43132482.36,2942567.98,329185000.00,0.00,0.00,5723271.74,5723271.74,380983322.08,339401049.15,8977760.39,41582272.93,331760307.52,380983322.08
013-0126,"Office of the Inspector General, Departmental Management, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,8973903.26,-735495.90,36626000.00,0.00,0.00,5493129.68,5493129.68,50357537.04,39183764.49,621019.75,11173772.55,39812834.79,50357537.04
091-1400,"Office of the Inspector General, Departmental Management, Education",Department of Education,Administration of Justice,Federal law enforcement activities,4645406.51,398023.73,59256000.00,0.00,0.00,78255.97,78255.97,64377686.21,59452956.10,1151730.86,4924730.11,58596697.63,64377686.21
016-0106,"Office of the Inspector General, Departmental Management, Labor",,"Education, Training, Employment, and Social Services",Other labor services,947495.59,253996.78,82061000.00,0.00,0.00,6089940.31,6089940.31,89352432.68,88272674.07,484512.82,1079758.61,85555409.18,89352432.68
070-0200,"Office of the Inspector General, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,12899337.10,619082.23,174888114.00,0.00,0.00,13925833.61,13925833.61,202332366.94,191061731.59,3201997.09,11270635.35,187855499.19,202332366.94
080-0109,"Office of the Inspector General, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",2271464.43,1145248.36,37900000.00,0.00,0.00,950372.44,950372.44,42267085.23,39962198.09,1236892.53,2304887.14,38576229.63,42267085.23
075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health care services,37742123.37,15178847.61,81500000.00,0.00,0.00,300348878.14,300348878.14,434769849.12,390131634.38,16090998.34,44638214.74,362715354.80,434769849.12
091-1401,"Office of the Inspector General - Recovery Act, Departmental Management, Education",Department of Education,Administration of Justice,Federal law enforcement activities,290340.30,-290340.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1071.93,0.00,0.00,0.00
089-0237,"Office of the Inspector General - Recovery Act, Energy Programs, Energy",Department of Energy,Energy,"Energy information, policy, and regulation",299618.66,-299618.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
075-0129,"Office of the Inspector General - Recovery Act, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health care services,62884.85,-62884.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
028-0400,"Office of the Inspector General, Social Security Administration",Social Security Administration,Income Security,Other income security,3055028.65,807919.64,29787000.00,0.00,0.00,75732628.89,75732628.89,109382577.18,105951870.25,1004037.36,3430706.93,103785697.81,109382577.18
019-0529,"Office of the Inspector General, State",Department of State,International Affairs,Conduct of foreign affairs,29343595.76,3131012.43,144469000.00,0.00,0.00,4999999.00,4999999.00,181943607.19,144348207.72,8122630.39,37595399.47,172463010.12,181943607.19
075-0130,"Office of the National Coordinator for Health Information Technology, Departmental Management, Health and Human Services",Department of Health and Human Services,Health,Health care services,2916337.31,510370.53,60227000.00,0.00,0.00,19093414.22,19093414.22,82747122.06,80085964.82,2208003.50,2661157.24,79518206.90,82747122.06
075-0131,"Office of the National Coordinator for Health Information Technology - Recovery Act, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health care services,1567577.25,149877.32,0.00,0.00,0.00,0.00,0.00,1717454.57,0.00,149877.32,1717454.57,25417932.67,1717454.57
049-0350,"Office of the National Science Board, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,524452.50,-17299.50,4370000.00,0.00,0.00,0.00,0.00,4877153.00,4322000.29,204921.33,555152.71,4294331.95,4877153.00
070-0110,"Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,7097031.80,2382100.30,-73013.00,0.00,0.00,-480640.47,-480640.47,8925478.63,2284256.48,5869676.32,6641222.15,36031464.14,8925478.63
075-8514,"Office of the Secretary Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,2755.95,0.00,0.00,0.00,0.00,0.00,0.00,2755.95,0.00,0.00,2755.95,0.00,2755.95
012-0126,Office of the Under Secretary for Farm and Foreign Agricultural Services,Department of Agriculture,Agriculture,Agricultural research and services,332491.26,4677.39,901000.00,0.00,0.00,-125416.57,-125416.57,1112752.08,835770.19,37829.12,276981.89,824881.04,1112752.08
